test,seed,result,writes,reads,matched_reads,protocol_errors,data_errors,uvm_warnings,uvm_errors,uvm_fatals,functional_coverage_pct,sram_cg_pct,temporal_cg_pct,simulator
base_test,1,PASS,256,256,256,0,0,0,0,0,40.28,55.56,25.0,QuestaSim via EDA Playground
corner_case_test,1,PASS,355,611,611,0,0,0,0,0,81.6,63.19,100.0,QuestaSim via EDA Playground
random_test,1,PASS,861,589,589,0,0,0,0,0,83.82,67.64,100.0,QuestaSim via EDA Playground
random_test,2,PASS,904,663,663,0,0,0,0,0,71.6,68.21,75.0,QuestaSim via EDA Playground
random_test,3,PASS,848,602,602,0,0,0,0,0,83.87,67.73,100.0,QuestaSim via EDA Playground
random_test,4,PASS,918,655,655,0,0,0,0,0,84.14,68.27,100.0,QuestaSim via EDA Playground
random_test,5,PASS,894,629,629,0,0,0,0,0,71.55,68.1,75.0,QuestaSim via EDA Playground
random_test,6,PASS,851,580,580,0,0,0,0,0,71.41,67.82,75.0,QuestaSim via EDA Playground
random_test,7,PASS,877,623,623,0,0,0,0,0,84.03,68.06,100.0,QuestaSim via EDA Playground
random_test,8,PASS,896,644,644,0,0,0,0,0,71.7,68.4,75.0,QuestaSim via EDA Playground
random_test,9,PASS,897,656,656,0,0,0,0,0,84.17,68.34,100.0,QuestaSim via EDA Playground
random_test,10,PASS,873,603,603,0,0,0,0,0,84.03,68.06,100.0,QuestaSim via EDA Playground
random_test,11,PASS,837,586,586,0,0,0,0,0,71.4,67.8,75.0,QuestaSim via EDA Playground
random_test,12,PASS,897,633,633,0,0,0,0,0,84.05,68.1,100.0,QuestaSim via EDA Playground
random_test,13,PASS,980,723,723,0,0,0,0,0,72.08,69.16,75.0,QuestaSim via EDA Playground
random_test,14,PASS,959,700,700,0,0,0,0,0,71.92,68.84,75.0,QuestaSim via EDA Playground
random_test,15,PASS,921,704,704,0,0,0,0,0,84.17,68.34,100.0,QuestaSim via EDA Playground
random_test,16,PASS,827,601,601,0,0,0,0,0,84.09,68.19,100.0,QuestaSim via EDA Playground
random_test,17,PASS,873,635,635,0,0,0,0,0,71.5,67.99,75.0,QuestaSim via EDA Playground
random_test,18,PASS,953,698,698,0,0,0,0,0,84.26,68.51,100.0,QuestaSim via EDA Playground
random_test,19,PASS,938,696,696,0,0,0,0,0,84.3,68.6,100.0,QuestaSim via EDA Playground
random_test,20,PASS,884,618,618,0,0,0,0,0,84.18,68.36,100.0,QuestaSim via EDA Playground
